English word,French word,Frequency
prepare,préparer,48
hands,mains,319
desperate,désespéré,50
spoke,parlait,137
padua,Padoue,0
without,sans pour autant,287
youth,jeunesse,275
quoth,quoth,62
these,celles-ci,1101
drunk,ivre,68
music,la musique,162
would,aurait,2027
scorn,mépris,104
warrant,mandat,175
because,car,81
silence,silence,62
somerset,somerset,0
prison,prison,89
fairy,Fée,41
sister,sœur,194
grief,douleur,212
viola,alto,0
excellent,excellent,100
merchant,marchande,31
phebe,phebe,0
devise,concevoir,46
version,version,1
guess,devine,50
drums,tambours,36
endure,supporter,73
object,objet,39
shortly,prochainement,0
ferdinand,Ferdinand,0
humble,humble,72
flight,vol,52
folly,folie,79
forest,forêt,61
vengeance,vengeance,178
throat,gorge,51
infinite,infini,38
least,moins,101
misery,misère,37
milan,Milan,0
minds,esprits,55
sleep,sommeil,242
commission,commission,48
after,après,339
quiet,silencieux,73
close,proche,96
policy,politique,45
saint,Saint,25
learn,apprendre,113
salerio,salerio,0
weeping,larmes,56
blood,du sang,660
straight,tout droit,145
throw,jeter,90
speaks,parle,0
thank,remercier,280
faces,visages,53
sweet,sucré,664
yours,le tiens,248
undone,défait,52
violent,violent,41
forsooth,en vérité,42
sworn,juré,132
empty,vide,49
deadly,mortel,50
spring,printemps,57
ambition,ambition,45
leave,laisser,610
blush,rougir,52
besides,outre,49
knave,fripon,174
weeds,mauvaises herbes,42
morrow,demain,326
laugh,rire,110
others,autres,0
faint,perdre connaissance,44
swift,rapide,67
murder,meurtre,57
making,fabrication,56
gower,gower,0
minister,ministre,38
cruel,cruel,71
often,souvent,121
remedy,remède,59
cardinal,cardinal,9
consent,consentement,88
suffolk,suffolk,0
respect,le respect,100
strange,étrange,241
aside,de côté,130
success,Succès,44
authority,autorité,51
loose,ample,50
therefore,par conséquent,0
creature,créature,72
child,enfant,227
trust,confiance,156
private,privé,66
companion,un compagnon,36
young,Jeune,406
provided,à condition de,27
tribunes,tribunes,27
fatal,fatal,42
wisdom,sagesse,92
gates,portes,101
happiness,bonheur,55
sorry,Pardon,88
treasure,Trésor,53
mistake,erreur,34
embrace,embrasse,61
cheek,joue,79
victory,la victoire,46
cheer,acclamation,78
praise,louange,177
better,mieux,566
special,spécial,38
contempt,mépris,43
truth,vérité,334
service,un service,221
there,Là,1501
sweat,transpiration,37
betray,trahir,56
swear,jurer,241
college,Université,3
copyright,droits d'auteur,7
approach,approche,64
turns,se tourne,47
number,nombre,54
obedience,obéissance,48
clarence,clarté,0
fierce,féroce,37
struck,frappé,73
brave,courageux,146
judge,juge,84
darkness,obscurité,37
posthumus,posthume,0
write,écrire,105
order,ordre,90
proceed,procéder,47
shape,forme,87
nothing,rien,541
understand,comprendre,0
birth,naissance,87
distributed,distribué,2
forth,en avant,369
wives,épouses,58
mariana,Mariana,0
heaven,paradis,577
loving,aimant,117
unhappy,malheureux,0
prohibited,interdit,0
mighty,puissant,0
silver,argent,65
despair,désespoir,46
weapons,armes,40
blessing,bénédiction,0
hundred,cent,114
other,autre,687
woman,femme,416
queen,reine,189
uncle,oncle,191
matter,matière,354
courage,courage,57
instant,instant,61
walls,des murs,84
native,originaire de,43
yield,rendement,128
noise,bruit,107
speak,parler,1005
sacred,sacré,46
tender,soumissionner,147
question,question,148
bought,acheté,51
loves,aime,194
spirit,esprit,254
picture,image,43
sharp,tranchant,67
names,des noms,49
messenger,Messager,58
regard,qui concerne,41
pompey,pompey,0
wench,jeune fille,62
witch,sorcière,43
mirth,gaieté,51
lucentio,Lucentio,0
royal,Royal,205
flies,mouches,56
tonight,ce soir,0
shake,secouer,91
almost,presque,139
displeasure,mécontentement,41
steward,intendant,22
chide,gronder,45
reign,règne,46
manner,manière,81
parolles,parolles,0
naked,nu,50
trial,procès,60
plead,plaider,41
brains,cerveaux,0
undertake,entreprendre,0
venice,venise,0
copies,copies,4
judgment,jugement,102
charity,charité,54
whether,qu'il s'agisse,56
raise,élever,43
quite,assez,72
tower,la tour,11
always,toujours,59
already,déjà,139
below,au dessous de,52
estate,biens,49
crave,demander,41
kings,rois,106
pardon,pardon,243
shall,doit,3128
touch,toucher,156
senator,sénateur,4
condition,état,56
ladyship,Madame,43
prayers,prières,85
shame,la honte,294
fruit,fruit,37
cause,cause,336
dreams,rêves,0
trick,tour,53
favour,favoriser,137
times,fois,208
wound,blessure,70
pedro,pedro,0
saying,en disant,50
render,rendre,44
cinna,cinna,0
abroad,à l'étranger,63
wounded,blessés,0
egypt,Egypte,0
whence,d'où,0
blunt,cru,27
chief,chef,30
dolabella,Dolabella,0
despite,malgré,44
burning,brûlant,50
